"source_file","page","list_title","document_notes","location_group","section","producer","item","ano","qty","posicion","raw_line"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Sorte O soro","2022","2","CAV 4 - 3 IZQ","Sorte O soro | 2022 | 2 | CAV 4 - 3 IZQ"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Terroir al límit Pedra de Guix","2022","1","CAV 2 - 6 CEN","Terroir al límit Pedra de Guix | 2022 | 1 | CAV 2 - 6 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Trascuevas","2023","2","CAV 3 - 3 IZQ","Trascuevas | 2023 | 2 | CAV 3 - 3 IZQ"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Trenzado","2024","2","","Trenzado | 2024 | 2"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Ultreia Godello","2023","4","CAV 2 - 4 DER","Ultreia Godello | 2023 | 4 | CAV 2 - 4 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Valtuillle","2023","2","CAV 1 - 12 CEN","Valtuillle | 2023 | 2 | CAV 1 - 12 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Vidonia","2024","2","CAV 4 - 0 IZQ","Vidonia | 2024 | 2 | CAV 4 - 0 IZQ"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Viña Tondonia","2013","2","CAV 3 - 3 DER","Viña Tondonia | 2013 | 2 | CAV 3 - 3 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Xesteiriña","2024","2","CAV 2 - 5 DER","Xesteiriña | 2024 | 2 | CAV 2 - 5 DER"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Batenfeld-Spanier Eisquell","2024","2","CAV 2 - 7 CEN","Batenfeld-Spanier Eisquell | 2024 | 2 | CAV 2 - 7 CEN"
