source_file,producer,item,ano_raw,best_pod,best_score,final_pod,final_kind,reason
usa_y_sudafrica_TO.pdf,Summum,Chardonnay,2022,POD017493,0.0,POD_TEMP_BM2_0100,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Kongsgaard,Syrah – Napa Valley,2020,POD018349,0.72,POD018349,existing_pod,score_ok_no_conflict
usa_y_sudafrica_TO.pdf,Kongsgaard,Syrah – Napa Valley,2022,POD018350,0.72,POD018350,existing_pod,score_ok_no_conflict
usa_y_sudafrica_TO.pdf,Promontory,Napa Valley,2015,POD016544,0.645,POD_TEMP_BM2_0101,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Promontory,Napa Valley,2016,POD017813,0.645,POD_TEMP_BM2_0102,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Promontory,Napa Valley,2018,POD018702,0.645,POD_TEMP_BM2_0103,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Promontory,Napa Valley,2019,POD018703,0.645,POD_TEMP_BM2_0104,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Racines,Bentrock – Sta. Rita Hills Chardonnay,2019,POD016490,0.7307,POD016490,existing_pod,score_ok_no_conflict
usa_y_sudafrica_TO.pdf,Racines,"La Rinconada Vineyard – Lompoc, CA",2019,POD016492,0.6949,POD_TEMP_BM2_0105,temp_pod,best_pod_conflict
usa_y_sudafrica_TO.pdf,Racines,"La Rinconada Vineyard – Lompoc, CA",2020,POD016492,0.6249,POD_TEMP_BM2_0106,temp_pod,best_pod_conflict
usa_y_sudafrica_TO.pdf,Racines,"La Rinconada Vineyard – Lompoc, CA",2022,POD016399,0.7135,POD016399,existing_pod,score_ok_no_conflict
usa_y_sudafrica_TO.pdf,Screaming Eagle,"Cabernet Sauvignon – Oakville, Napa Valley",2011,POD015792,0.6963,POD015792,existing_pod,score_ok_no_conflict
usa_y_sudafrica_TO.pdf,Screaming Eagle,"Cabernet Sauvignon – Oakville, Napa Valley",2012,POD015791,0.6963,POD015791,existing_pod,score_ok_no_conflict
usa_y_sudafrica_TO.pdf,Screaming Eagle,"Cabernet Sauvignon – Oakville, Napa Valley",2013,POD015790,0.6963,POD015790,existing_pod,score_ok_no_conflict
usa_y_sudafrica_TO.pdf,Screaming Eagle,"Cabernet Sauvignon – Oakville, Napa Valley",2019,POD015787,0.7096,POD_TEMP_BM2_0107,temp_pod,best_pod_conflict
usa_y_sudafrica_TO.pdf,Screaming Eagle,"Cabernet Sauvignon – Oakville, Napa Valley",2021,POD015787,0.7096,POD_TEMP_BM2_0108,temp_pod,best_pod_conflict
usa_y_sudafrica_TO.pdf,Shannon,Mount Bullet – South Africa,2020,POD018201,0.645,POD_TEMP_BM2_0109,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Sine Qua Non,Syrah – California,2013,POD016890,0.6986,POD016890,existing_pod,score_ok_no_conflict
usa_y_sudafrica_TO.pdf,Sine Qua Non,Touché Syrah,2012,POD016887,0.7777,POD016887,existing_pod,score_ok_no_conflict
