orden,excel_row,tipo,cava,area,balda,linea,sublinea,es_checklist,entrada_sin_checkbox,vino_sin_cantidad,cantidad,cantidad_raw,nota_post_cantidad,texto_excel,item_id,item_part,item_total_parts,item_entrada_completa,item_vino_sin_cantidad_completo,item_cantidad,item_cantidad_raw,item_nota_post_cantidad
84,100,ITEM,CAVA B,,BALDA 6,,,False,Remirez de Ganuza Blanco 2016 x2,Remirez de Ganuza Blanco 2016,2,x2,,Remirez de Ganuza Blanco 2016 x2,I0066,1,1,Remirez de Ganuza Blanco 2016 x2,Remirez de Ganuza Blanco 2016,2,x2,
85,101,ITEM,CAVA B,,BALDA 6,,,False,Abadía Retuerta “ Le Domaine “ 2018 x3,Abadía Retuerta “ Le Domaine “ 2018,3,x3,,Abadía Retuerta “ Le Domaine “ 2018 x3,I0067,1,1,Abadía Retuerta “ Le Domaine “ 2018 x3,Abadía Retuerta “ Le Domaine “ 2018,3,x3,
86,102,ITEM,CAVA B,,BALDA 6,,,False,José Pariente Las Comas 2022 x3,José Pariente Las Comas 2022,3,x3,,José Pariente Las Comas 2022 x3,I0068,1,1,José Pariente Las Comas 2022 x3,José Pariente Las Comas 2022,3,x3,
87,105,BALDA,CAVA B,,BALDA 7,,,,,,,,,BALDA 7,,,,,,,,
88,106,ITEM,CAVA B,,BALDA 7,,,False,Viura Abel Mendoza 2024 x2,Viura Abel Mendoza 2024,2,x2,,Viura Abel Mendoza 2024 x2,I0069,1,1,Viura Abel Mendoza 2024 x2,Viura Abel Mendoza 2024,2,x2,
89,107,ITEM,CAVA B,,BALDA 7,,,False,Champagne Georges Laval Les Hautes Chevres 2012 Brut Nature x1,Champagne Georges Laval Les Hautes Chevres 2012 Brut Nature,1,x1,,Champagne Georges Laval Les Hautes Chevres 2012 Brut Nature x1,I0070,1,1,Champagne Georges Laval Les Hautes Chevres 2012 Brut Nature x1,Champagne Georges Laval Les Hautes Chevres 2012 Brut Nature,1,x1,
90,108,ITEM,CAVA B,,BALDA 7,,,False,Champagne Fleury Brut Nature 2013 x1,Champagne Fleury Brut Nature 2013,1,x1,,Champagne Fleury Brut Nature 2013 x1,I0071,1,1,Champagne Fleury Brut Nature 2013 x1,Champagne Fleury Brut Nature 2013,1,x1,
91,109,ITEM,CAVA B,,BALDA 7,,,False,Attis Embaixador Albariño 2023 x4,Attis Embaixador Albariño 2023,4,x4,,Attis Embaixador Albariño 2023 x4,I0072,1,1,Attis Embaixador Albariño 2023 x4,Attis Embaixador Albariño 2023,4,x4,
92,111,BALDA,CAVA B,,BALDA 8,,,,,,,,,BALDA 8,,,,,,,,
93,112,ITEM,CAVA B,,BALDA 8,,,False,Gramona III Lustros 2017 Font de Jui Corpinat x2,Gramona III Lustros 2017 Font de Jui Corpinat,2,x2,,Gramona III Lustros 2017 Font de Jui Corpinat x2,I0073,1,1,Gramona III Lustros 2017 Font de Jui Corpinat x2,Gramona III Lustros 2017 Font de Jui Corpinat,2,x2,
94,113,ITEM,CAVA B,,BALDA 8,,,False,Juve&Camps Gran Reserva Finca Can Rius Milesime x2,Juve&Camps Gran Reserva Finca Can Rius Milesime,2,x2,,Juve&Camps Gran Reserva Finca Can Rius Milesime x2 ,I0074,1,1,Juve&Camps Gran Reserva Finca Can Rius Milesime x2,Juve&Camps Gran Reserva Finca Can Rius Milesime,2,x2,
95,116,BALDA,CAVA B,,BALDA 9,,,,,,,,,BALDA 9,,,,,,,,
96,117,ITEM,CAVA B,,BALDA 9,,,False,Ruinart Blanc de Blancs Magnum x3,Ruinart Blanc de Blancs Magnum,3,x3,,Ruinart Blanc de Blancs Magnum x3,I0075,1,1,Ruinart Blanc de Blancs Magnum x3,Ruinart Blanc de Blancs Magnum,3,x3,
97,118,ITEM,CAVA B,,BALDA 9,,,False,Gosset Grand Rose Champagne x1,Gosset Grand Rose Champagne,1,x1,,Gosset Grand Rose Champagne x1,I0076,1,1,Gosset Grand Rose Champagne x1,Gosset Grand Rose Champagne,1,x1,
98,119,ITEM,CAVA B,,BALDA 9,,,False,Ruinart Rose Magnum x1,Ruinart Rose Magnum,1,x1,,Ruinart Rose Magnum x1,I0077,1,1,Ruinart Rose Magnum x1,Ruinart Rose Magnum,1,x1,
99,121,CAVA,CAVA C,,,,,,,,,,,CAVA C,,,,,,,,
100,122,BALDA,CAVA C,,BALDA 1,,,,,,,,,BALDA 1,,,,,,,,
101,123,ITEM,CAVA C,,BALDA 1,,,False,Attis Mar 2024 x3,Attis Mar 2024,3,x3,,Attis Mar 2024 x3,I0078,1,1,Attis Mar 2024 x3,Attis Mar 2024,3,x3,
102,124,ITEM,CAVA C,,BALDA 1,,,False,La Comtesse Albariño 2020 x2,La Comtesse Albariño 2020,2,x2,,La Comtesse Albariño 2020 x2,I0079,1,1,La Comtesse Albariño 2020 x2,La Comtesse Albariño 2020,2,x2,
103,125,ITEM,CAVA C,,BALDA 1,,,False,La Pola 2023 x2,La Pola 2023,2,x2,,La Pola 2023 x2 ,I0080,1,1,La Pola 2023 x2,La Pola 2023,2,x2,
104,126,ITEM,CAVA C,,BALDA 1,,,False,El Hombre Bala 2023 Albillo Real x3,El Hombre Bala 2023 Albillo Real,3,x3,,El Hombre Bala 2023 Albillo Real x3 ,I0081,1,1,El Hombre Bala 2023 Albillo Real x3,El Hombre Bala 2023 Albillo Real,3,x3,
105,127,ITEM,CAVA C,,BALDA 1,,,False,Remelluri 2022 Blanco x1,Remelluri 2022 Blanco,1,x1,,Remelluri 2022 Blanco x1,I0082,1,1,Remelluri 2022 Blanco x1,Remelluri 2022 Blanco,1,x1,
106,128,ITEM,CAVA C,,BALDA 1,,,False,Attis Embaixador 2022 x3,Attis Embaixador 2022,3,x3,,Attis Embaixador 2022 x3,I0083,1,1,Attis Embaixador 2022 x3,Attis Embaixador 2022,3,x3,
